,NLTK_Compound,Blob Score,TSLA
2020-05-27,0.0426875,0.7185113495574331,819.955
2020-05-28,0.035560000000000015,0.7665819490248985,805.975
2020-05-29,0.0,0.5235839477358375,834.1905
2020-06-01,0.0,0.6519655363300845,897.875
2020-06-02,0.05,0.5645372567546675,881.4
2020-06-03,0.0,0.6570051657691672,882.51
2020-06-08,0.17496666666666666,0.5233003253194988,948.45
2020-06-09,0.3259,0.7775795573757308,941.5524
2020-06-10,0.19863333333333333,0.6810257415992604,1024.974
2020-06-11,-0.03128823529411765,0.659017906192647,972.41
2020-06-12,0.21954285714285712,0.7773086858202152,936.25
2020-06-15,0.2781,0.586135961805972,990.75
2020-06-16,0.02328,0.6894446652339162,981.51
2020-06-17,-0.131675,0.6085899143435214,990.56
2020-06-18,0.07024999999999999,0.6750768669835775,1004.02
