,NLTK_Compound,Blob Score,GME
2020-12-14,0.09068571428571427,0.7649886618390658,12.72
2020-12-15,-0.11173333333333337,0.655752192252324,13.87
2020-12-16,0.026359999999999998,0.6060065978836731,13.85
2020-12-17,0.028109090909090917,0.7462211864902666,14.83
2020-12-18,0.18193076923076926,0.6652508019323007,15.63
2020-12-21,0.008711111111111109,0.7118708343056206,15.5202
2020-12-22,0.10575087719298246,0.6564128861432558,19.43
2020-12-23,0.13231014492753618,0.6383355278121244,20.58
2020-12-24,0.011224137931034488,0.6906772470653443,20.2
2020-12-28,0.006084615384615378,0.6885573704014211,20.98
2020-12-29,0.117376,0.7070407636866126,19.37
2020-12-30,0.04356,0.6443697483201042,19.26
2020-12-31,0.13514142857142852,0.7074700669320979,18.81
2021-01-04,0.035705128205128216,0.6599817817659508,17.24
2021-01-05,0.08700425531914892,0.6581321183919207,17.36
2021-01-06,0.11994193548387096,0.6586655229330329,18.39
2021-01-07,0.023384210526315792,0.738900341718965,18.12
2021-01-08,0.1320875,0.7055201049107732,17.6899
2021-01-11,0.05918125,0.6690708560060449,19.93
2021-01-12,0.03856176470588235,0.7105795407329741,19.94
2021-01-13,0.1177013468013468,0.6746524609359861,31.44
2021-01-14,0.12714969879518076,0.676867087952086,39.9184
2021-01-15,0.10995125000000004,0.6719716667378393,35.49
2021-01-19,0.08250505050505051,0.6817087688867448,39.51
2021-01-20,0.08318075313807533,0.6925876885490947,39.12
2021-01-21,0.025596551724137957,0.6815665801271189,43.02
2021-01-22,0.10259281767955797,0.6744787781133745,64.85
