Text,Created,Likes,Sentiment
"@KshatriyaStocks Umm $FCEL is tanking at the moment, $50, $100.... lol!!!! 😂",2021-01-14T11:24:37Z,617,{'basic': 'Bullish'}
"$FCEL no big deal in at 1.80 but it be nice to hit em with some news or deal that’s going on to carry the hydro flag for a lil while, sector been in fire last month or so but the dip before the rip again ,,,,, also anyone notice it ends up being a Green Day when pre market is red lol",2021-01-14T11:22:18Z,99,
$FCEL,2021-01-14T11:21:37Z,275,
$FCEL Why is this down so much today? Any news?,2021-01-14T11:21:04Z,1,
$FCEL need more bears in order for this to go up 😁,2021-01-14T11:20:08Z,8426,{'basic': 'Bearish'}
&#39;Richly valued&#39; FuelCell downgraded to Underweight at JPMorgan - $FCEL - http://thefly.com/permalinks/entry.php/FCELid3227137,2021-01-14T11:19:45Z,1,
$LAC $FCEL Buy the dips,2021-01-14T11:19:12Z,42119,{'basic': 'Bullish'}
"$FCEL this is consolidation perfectly. I was expecting this for yesterday or today. Yesterday sideways, today down. Tomorrow sideways and a little bounce back and monday it continues to run. Thats what the trend says at least.",2021-01-14T11:18:30Z,36,
"$FCEL simple, if you didn‘t sell yesterday, just hold.",2021-01-14T11:17:54Z,791,{'basic': 'Bullish'}
$FCEL,2021-01-14T11:17:38Z,445,{'basic': 'Bearish'}
$FCEL $FCEL ready for $16.5 before 20+ again. $FCEL ready for $16.5 before 20+ again,2021-01-14T11:17:24Z,125,{'basic': 'Bearish'}
$FCEL greed is good till it ain’t,2021-01-14T11:16:27Z,445,{'basic': 'Bearish'}
$FCEL where the germans at now?,2021-01-14T11:15:08Z,527,
$FCEL wouldn’t touch this anymore. Earnings will be a mess.,2021-01-14T11:12:49Z,1419,{'basic': 'Bearish'}
"$HYSR this is one of those stocks that is worth a bet just in case the technology comes to fruition. If it does, they will either reach incredible highs as an independent company or will be bought out for an incredible price by someone like $PLUG or $FCEL.",2021-01-14T11:12:34Z,21,
"$FCEL Poor shorts are trying..LMFAO!  Epic short squeeze coming!  FEW will burn these 🔥🐻🔥🐻🔥🐻!! 
🚀🐃🚀🐃🚀🐃🚀🐃🚀🐃🚀🐃",2021-01-14T11:11:57Z,9994,{'basic': 'Bullish'}
