Created,GME,NLTK_Compound,Blob Score
2020-12-02,16.59,-0.05268333333333333,0.650416665498783
2020-12-03,16.12,0.05386666666666666,0.6982399980857643
2020-12-04,16.91,0.03650833333333333,0.6247567724463131
2020-12-07,16.32,0.01920000000000001,0.6469141821452583
2020-12-08,16.92,0.11666933333333333,0.7274739926421441
2020-12-09,13.6576,0.07805853658536585,0.6549835518585365
2020-12-10,14.12,0.161653125,0.6904769563144592
2020-12-11,13.31,0.028121428571428582,0.6911705061101985
2020-12-14,12.72,0.09068571428571427,0.7649886618390658
2020-12-15,13.87,0.00484166666666664,0.645265745570736
2020-12-16,13.85,0.026359999999999998,0.6060065978836731
2020-12-17,14.83,0.19636287878787886,0.6993575635991545
2020-12-18,15.63,0.23358413461538463,0.6609483304727433
2020-12-21,15.5202,0.008711111111111109,0.7118708343056206
