Created,TSLA,NLTK_Compound,Blob Score
2020-05-27,819.955,0.0426875,0.7185113495574331
2020-05-28,805.975,0.035560000000000015,0.7665819490248985
2020-05-29,834.1905,0.0,0.5235839477358375
2020-06-01,897.875,0.0,0.6519655363300845
2020-06-02,881.4,0.05,0.5645372567546675
2020-06-03,882.51,0.0,0.6570051657691672
2020-06-08,948.45,0.17496666666666666,0.5233003253194988
2020-06-09,941.5524,0.3259,0.7775795573757308
2020-06-10,1024.974,0.19863333333333333,0.6810257415992604
2020-06-11,972.41,-0.03128823529411765,0.659017906192647
2020-06-12,936.25,0.21954285714285712,0.7773086858202152
2020-06-15,990.75,0.2781,0.586135961805972
2020-06-16,981.51,0.02328,0.6894446652339162
2020-06-17,990.56,-0.131675,0.6085899143435214
2020-06-18,1004.02,0.07024999999999999,0.6750768669835775
