Created,NIO,NLTK_Compound,Blob Score
2020-11-02,33.32,0.14368888888888887,0.5901435056190087
2020-11-03,35.51,0.10882727272727273,0.6184390092088147
2020-11-04,37.71,0.11618770833333333,0.7043964360450099
2020-11-05,42.42,0.34,0.7960521462793975
2020-11-06,41.64,0.10785,0.6764481684207889
2020-11-09,44.06,0.15793947916666667,0.6898168510193438
2020-11-10,41.5489,0.02842307692307692,0.6550089903464246
2020-11-11,43.07,0.031745454545454535,0.6365679593113506
2020-11-12,48.3427,0.11582113821138211,0.6785833118755955
2020-11-13,43.7247,0.04102451612903227,0.6681403691929089
2020-11-16,45.5799,0.025549019607843136,0.6424421275525708
2020-11-17,46.5599,0.049964666666666664,0.6459130499915684
2020-11-18,45.1,-0.007642307692307692,0.6633031638985725
2020-11-19,48.47,0.09053846153846154,0.642265969811789
