,NLTK_Compound,Blob Score,GME
2020-10-28,4.601521861026378,8.943245303982007,11.81
2020-10-29,0.5036728129224329,8.049630416532207,11.73
2020-10-30,2.159803919597122,8.14946045659567,10.4679
2020-11-02,2.4708314922820143,6.2934317400627435,10.75
2020-11-03,1.1112220806820143,8.821865770221667,11.56
2020-11-04,-3.092096224506474,6.1264917238250245,10.9
2020-11-06,0.0,6.08194344139917,11.87
2020-11-09,1.5064484136725176,7.666115675294552,11.5
2020-11-10,1.1757395536690647,9.220205725867961,11.11
2020-11-11,-0.32651967033323737,8.129719130737223,11.76
2020-11-12,-2.72170862460777,7.647465493405109,11.14
2020-11-13,0.0,6.709684154963404,11.115
2020-11-16,-0.38224379707856115,6.960935609391995,12.07
2020-11-17,1.5515810042705034,9.532499449336989,11.64
2020-11-18,-1.6863464455482011,8.94698407607957,11.58
2020-11-19,2.7569045928073996,9.142882524173697,12.46
2020-11-20,1.681999173248921,8.23608760526187,12.71
2020-11-23,1.0121240325870502,7.28396634915839,13.9
2020-11-24,0.16869674844480986,7.494221002785474,13.68
2020-11-25,0.7829042204431652,7.802449202011903,14.75
2020-11-27,1.2310684738417264,8.037912340557721,16.05
2020-11-30,0.6034039448599674,7.7871297027532025,16.5678
2020-12-01,0.07597846359424464,7.810842288779819,15.81
2020-12-02,-0.6246239880920863,7.711468235218088,16.59
2020-12-03,0.19207039431366887,8.01458048744503,16.12
2020-12-04,0.4328499987079136,7.407239483573985,16.91
2020-12-07,0.2276389858532375,7.669942101959536,16.32
2020-12-08,0.3904482855270215,8.282406638690066,16.92
2020-12-09,0.9254774013271099,7.765614140397322,13.6576
2020-12-10,1.61133129797482,8.04541919266208,14.12
2020-12-11,0.3334132021220967,8.194653805343458,13.31
2020-12-14,1.0751877099675229,9.069856415118235,12.72
2020-12-15,-1.3247324315625901,7.774727292466467,13.87
2020-12-16,0.31252935766100715,7.184933716802602,13.85
2020-12-17,0.33326692436468286,8.847345526814783,14.83
2020-12-18,2.1570070730829,7.887344681766762,15.63
2020-12-21,0.10328065098896878,8.440080978116118,15.5202
