Text,Created,Likes,Sentiment
"Large Print $COTY Size: 145453 Price: 6.63 Time: 930 Amount: $964,353.39",2021-01-11T14:30:01Z,114,
"$COTY down more in PM. Does not look good in the coming weeks. It’s starting to look not so good to hold this going into ER. And before the bashers start in on me, I bought more in December and added to my holdings. I now regret but still looking for honest discussion. I am a bit bummed",2021-01-11T13:24:48Z,2018,
"$COTY unfortunately, this will open DOWN AGAIN",2021-01-11T12:17:18Z,2018,
$COTY I am starting to have a bad feeling about ER.,2021-01-11T11:55:56Z,2018,
$COTY all my other stocks are up in PM except this POS  that I am begging to think has seen it’s better days. I was enthusiastic about the insider buying but now I remember that the last time that happened the stock tanked big time a month later. Looks like that is happening again. Shit. I should have known,2021-01-11T10:58:26Z,2018,
"$COTY not much to report from the technical side.  Price continues to consolidate.  The question is, when the time comes which way will price break.",2021-01-11T00:31:03Z,3734,
$COTY hope we cross $8 this week .,2021-01-10T23:04:22Z,3768,{'basic': 'Bullish'}
$CTRM $CHEK $IVR $COTY $FSR 🚀🍀💵💵💵💵💵💵💵💵💵💵💵💵,2021-01-10T21:42:36Z,1176,{'basic': 'Bullish'}
Your daily News digest for Coty Inc $COTY https://wsfriend.com/daily/news/COTY/2021-01-10/,2021-01-10T21:31:31Z,94,
"$COTY yeah, sure, I will buy this dip!!",2021-01-08T21:00:42Z,85,{'basic': 'Bullish'}
"$COTY 🚀🚀🚀🚀🚀🚀😂🚀🚀earnings will
Be crazy!!!",2021-01-08T19:19:20Z,923,{'basic': 'Bullish'}
$COTY NEW ARTICLE : Why Coty Stock Lost 38% Last Year https://www.stck.pro/news/COTY/10197346,2021-01-08T18:27:05Z,52,
"$COTY COTY - 30m chart. BUY around 6.65
T1   7.06
T2  7.31 
SL closing below 6.50",2021-01-08T18:26:46Z,236,{'basic': 'Bullish'}
$COTY no reason earnings shouldn’t do well on this. Turnaround effort has already been fully engaged,2021-01-08T18:23:32Z,2648,{'basic': 'Bullish'}
$COTY buy order raid triggered,2021-01-08T18:14:39Z,875,
$COTY OK fine I&#39;ll buy more,2021-01-08T17:36:02Z,875,
"$COTY if you think of selling cheap, see the number of big Buys vs. Sell in Level 2",2021-01-08T17:13:27Z,62,
"$COTY don&#39;t kid yourselves. The writing is on the wall with all the insider purchase. In 2 weeks with the earning report, you can easily double your money in one night. 
Loads of tutes have been loading up on $COTY; and not a single sold since November. 
Look it up.  

https://fintel.io/so/us/coty",2021-01-08T17:01:28Z,62,
$COTY Is there any truth to the #ItalyDidIt line on twitter?  The people involved seem to truly believe and this would be havoc on stock volatility.,2021-01-08T16:29:53Z,16,
$COTY Coty needs to absolutely crush earnings or this stock will crater. Looking at Tesla today makes me think it would have been easier following the hype vs. hoping for a turnaround that may never happen.,2021-01-08T16:25:16Z,3,
$COTY Come on back down to 6.60 and I&#39;ll eat you up.,2021-01-08T16:22:21Z,16,
$COTY everyone running to Bitcoin man,2021-01-08T15:50:58Z,8913,
$COTY man this stock is trash.,2021-01-08T15:50:38Z,311,
$COTY correction to this mornings article,2021-01-08T15:04:43Z,142,{'basic': 'Bullish'}
"$GMER When the CEO announces the merger candidate this will get explosive. The share structure here is incredible and could easily make a push to 50 cents on the initial news. Could make a $ALPP move easily with the right merger. 50 MIL shares in the float is nothing. CEO states it will be a $50mil revenue company as t least that merges which would out this solidly at $1. 

$EXPR $COTY",2021-01-08T15:00:23Z,152,{'basic': 'Bullish'}
$COTY LB sale was up and price record high. COTY should doing fine too. one good decent earning will gain  30%.,2021-01-08T14:59:26Z,593,{'basic': 'Bullish'}
$COTY Same shit every morning. So tired of this.,2021-01-08T14:41:27Z,17,
$COTY market is up. Everything is up except this POS. Thanks WSJ! Barf,2021-01-08T14:37:56Z,2018,
"$AMC please check the following stocks to see their stories: $COTY, $ENPH, $AMD! $AMC now has a very similar story to those!!! DON&#39;T MISS THE TRAIN!!!",2021-01-08T14:26:16Z,81,{'basic': 'Bullish'}
$COTY negative article out with WSJ. Everything else up big in PM. Not this.,2021-01-08T13:44:19Z,2018,
$COTY  https://www.wsj.com/amp/articles/kylie-jenner-cosmetics-deal-has-delivered-promise-and-peril-for-coty-11610101802,2021-01-08T13:03:18Z,208,
$COTY come on baby 🌝,2021-01-08T12:51:31Z,1142,{'basic': 'Bullish'}
2021-01-07 Short sale volume (not short interest) for $COTY is 35%. http://shortvolumes.com/?t=COTY via @shortvolumes,2021-01-08T12:14:35Z,3,
$COTY NEW ARTICLE : Expect Limited Gains From Coty Stock In The Near Term https://www.stck.pro/news/COTY/10190636,2021-01-08T11:33:14Z,52,
$COTY down in pre market,2021-01-08T10:52:10Z,2018,
$COTY roll on,2021-01-08T10:47:30Z,1,{'basic': 'Bullish'}
"Kylie Jenner Cosmetics Deal Has Delivered Promise and Peril for Coty
— Wall Street Journal
$COTY",2021-01-08T10:46:09Z,0,
"$COTY needs some milk, been stuck @7 for a while now",2021-01-08T10:44:01Z,16,
$COTY  19th Feb $8 calls now 0.45,2021-01-07T23:44:35Z,1,{'basic': 'Bullish'}
$COTY NEW ARTICLE : Kim Kardashian sells 20 percent of KKW Beauty to Coty for $200 million https://www.stck.pro/news/COTY/10150609,2021-01-06T17:29:05Z,52,
"$COTY WTF going on here? almost all others are record 52 wk high even in deep shit financial issue. COTY is in its best shape than a few years ago and current price is a fucking joke. Anyway, I still this fucking golden egg will hatch to teens this year!",2021-01-06T17:23:25Z,593,{'basic': 'Bullish'}
$COTY COTY - Consolidation coming to an end. 1:5 Risk:Reward !. COTY - This one seems like it might have finished wave,2021-01-06T17:03:34Z,2,{'basic': 'Bullish'}
$M I love the way Macy&#39;s has been trading. Purchased a lot of in the money calls which were very reasonable. Looking for some positive upside throughout the future. We&#39;ll probably take the stock. I also like $Coty which has been moving with Macy&#39;s. They will probably start the dividend again when this pandemic is over.,2021-01-06T16:58:47Z,892,{'basic': 'Bullish'}
$COTY come on coty. Why do you always have to give me the least amount of gains in my portfolio.,2021-01-06T16:36:19Z,56,{'basic': 'Bullish'}
"Current Positive US Markets Earnings Estimates for Consumer Defensive: $STKL $COTY $BG $SPB $PRMW
https://www.finscreener.com/earnings/earnings-estimates/us-markets",2021-01-06T16:15:13Z,15,
$COTY As much as I don’t want the Democrats to control everything this is going to be really good for retail especially if they come out with any type of stimulus that’s $2000. The stock is very immune to what’s going to happen in the next two years,2021-01-06T15:58:16Z,870,
$COTY would be nice if it would actualy manage to stay above 7$.,2021-01-06T15:00:48Z,23,
$COTY what the f*ck is up with this stock this morning? KKW NEVER has a positive impact overall. They get rich and we don’t,2021-01-06T15:00:01Z,2018,
$COTY Loaded 5K more shares. Hopefully $8 soon,2021-01-06T14:55:08Z,85,{'basic': 'Bullish'}
"$COTY  Before this takes off, ask yourself if you have enough shares.",2021-01-06T14:52:50Z,208,
$COTY this is the big picture here 🚀,2021-01-06T14:08:22Z,318,{'basic': 'Bullish'}
$COTY if dems control everything this will be a safe stock to sit in.,2021-01-06T06:30:53Z,870,
$COTY I call dibs on Kim,2021-01-06T06:27:14Z,4605,{'basic': 'Bullish'}
$TTCF $COTY,2021-01-06T06:08:34Z,4605,{'basic': 'Bullish'}
$COTY I don’t expect anything great until Feb 03,2021-01-06T00:59:42Z,1045,{'basic': 'Bullish'}
"$COTY still consolidating, up or down is anyone&#39;s guess, but as of right now I tend to think up.",2021-01-06T00:45:43Z,3734,
$COTY here to stir the pot like I usually do every once in a while 😂😂,2021-01-05T23:21:01Z,558,{'basic': 'Bearish'}
Your daily News digest for Coty Inc $COTY https://wsfriend.com/daily/news/COTY/2021-01-05/,2021-01-05T21:33:53Z,94,
"Large Print $COTY Size: 182911 Price: 6.89 Time: 1600 Amount: $1,260,256.79",2021-01-05T21:00:04Z,114,
"Large Print $COTY Size: 119171 Price: 6.9 Time: 1529 Amount: $822,279.90",2021-01-05T20:29:42Z,114,
"Large Print $COTY Size: 119171 Price: 6.92 Time: 1514 Amount: $824,663.32",2021-01-05T20:14:14Z,114,
$COTY anything with a Kardashian name is a good investment,2021-01-05T19:28:21Z,4,{'basic': 'Bullish'}
$COTY  Just a 3% pump today would be nice.,2021-01-05T17:19:32Z,85,{'basic': 'Bullish'}
$COTY still holding on. Let’s get through q1 and vaccines! Daddy needs a new suv.,2021-01-05T17:03:52Z,593,
$COTY all money flowing into oil. Crude hit 50 dollars.,2021-01-05T16:30:45Z,56,
$COTY a new $6 billionaire director María Asunción Aramburuzabala has net worth more than COTY market cap. Why would she wants to work for COTY for a few bucks? I believe she will take some stake in COTY.,2021-01-05T16:03:25Z,593,{'basic': 'Bullish'}
$COTY added,2021-01-05T15:39:04Z,875,
$COTY let’s close above $7.25 today,2021-01-05T14:41:32Z,3773,{'basic': 'Bullish'}
$COTY sounds like pretty good news but still not expecting much,2021-01-05T14:28:32Z,248,
$COTY Wana see $8 this week,2021-01-04T06:35:04Z,3773,{'basic': 'Bullish'}
I’m a wrong or does $SDC also do face transformations and makeup with $ULTA $COTY because that is some crazy work I even  forgot to even look at the teeth lol 😂 $BIOL you have some competition lol $VZA,2021-01-04T03:02:07Z,461,
"$COTY This month will hopefully be exciting leading up to ER beginning of Feb. , right?",2021-01-04T01:57:41Z,743,
Your daily News digest for Coty Inc $COTY https://wsfriend.com/daily/news/COTY/2021-01-03/,2021-01-03T21:31:18Z,94,
"$COTY 😎😎😎

Swing Trade Newsletter- 01/04/2021
Timestamps are in the description. 

Ticker Mentioned here:
https://youtu.be/DGaHaENYOck",2021-01-03T11:25:26Z,145,{'basic': 'Bullish'}
"$COTY I was on this trade last November, got in at $5 and got out around $7.20. I was expecting for a good pull back and It have been going sideways on a channel. It&#39;s a nice bullish flag setup now. I am back in again this can go to $13 when it brake out of $7.90.",2021-01-03T00:42:24Z,36,{'basic': 'Bullish'}
Your daily News digest for Coty Inc $COTY https://wsfriend.com/daily/news/COTY/2021-01-02/,2021-01-02T21:30:29Z,94,
$COTY February calls are going to print $$$ after Q2 earnings. Short-term this looks like a perfect trade. Long-term this can see some headwinds.,2021-01-02T04:47:17Z,3,
$COTY mentioned here http://www.stocksequity.com/active-stocks/stock-with-sudden-spurt-in-volumes-coty-inc-nysecotys-e-p-s-strolling-at-1-36/,2021-01-02T01:29:57Z,5,
$COTY im buying 600 bucks worth of coty,2021-01-02T00:23:26Z,87,{'basic': 'Bullish'}
$COTY It&#39;s back on watch.,2021-01-01T22:34:41Z,3734,
Your daily News digest for Coty Inc $COTY https://wsfriend.com/daily/news/COTY/2021-01-01/,2021-01-01T21:31:00Z,94,
$COTY I STILL BELIEVE,2021-01-01T19:10:16Z,831,
$COTY COTY to $29 bucks a share this year (2021) !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2021-01-01T07:13:35Z,2018,
